context,gold_answers,predicted_answer,correct
A bicycle is outside and on the right of a bus from my point of view. The bus is facing away from me.,['right'],left,False
A bicycle is outside and on the right of a bus from my point of view. The bus is facing right relative to me.,['right'],left,False
A chair is in front of a chicken from the chicken's perspective. The chicken is facing toward the camera.,['front'],back,False
A chair is in front of a chicken from the chicken's perspective. The chicken is facing left relative to the camera.,['left'],right,False
A chair is in front of a chicken from the chicken's perspective. The chicken is facing away from the camera.,['back'],back,True
A chair is in front of a chicken from the chicken's perspective. The chicken is facing right relative to the camera.,['right'],left,False
A chicken is to the left of a horse from the horse's perspective. The horse is facing toward the camera.,['right'],right,True
A chicken is to the left of a horse from the horse's perspective. The horse is facing left relative to the camera.,['front'],right,False
A chicken is to the left of a horse from the horse's perspective. The horse is facing away from the camera.,['left'],right,False
A chicken is to the left of a horse from the horse's perspective. The horse is facing right relative to the camera.,['back'],right,False
A sheep is in front of a chicken from my point of view. The chicken is facing toward me.,['front'],left,False
A sheep is in front of a chicken from my point of view. The chicken is facing left relative to me.,['front'],right,False
A sheep is in front of a chicken from my point of view. The chicken is facing away from me.,['front'],back,False
A sheep is in front of a chicken from my point of view. The chicken is facing right relative to me.,['front'],left,False
A sheep is in front of a chair from the camera angle. The chair is facing toward the camera.,['front'],front,True
A sheep is in front of a chair from the camera angle. The chair is facing left relative to the camera.,['front'],right,False
A sheep is in front of a chair from the camera angle. The chair is facing away from the camera.,['front'],front,True
A sheep is in front of a chair from the camera angle. The chair is facing right relative to the camera.,['front'],left,False
A deer is to the left of an umbrella.,['left'],left,True
A suitcase is in front of a fire hydrant.,['front'],front,True
A container is behind an umbrella.,['back'],back,True
A deer is back of an umbrella.,['back'],back,True
A tree is in front of a chair relative to the chair. The chair is facing toward the camera.,['front'],front,True
A tree is in front of a chair relative to the chair. The chair is facing left relative to the camera.,['left'],right,False
A tree is in front of a chair relative to the chair. The chair is facing away from the camera.,['back'],back,True
A tree is in front of a chair relative to the chair. The chair is facing right relative to the camera.,['right'],left,False
A horse is in front of a bench relative to the bench. The bench is facing toward the camera.,['front'],front,True
A horse is in front of a bench relative to the bench. The bench is facing left relative to the camera.,['left'],right,False
A horse is in front of a bench relative to the bench. The bench is facing away from the camera.,['back'],back,True
A horse is in front of a bench relative to the bench. The bench is facing right relative to the camera.,['right'],left,False
An umbrella is behind a chicken from the chicken's perspective. The chicken is facing toward the camera.,['back'],back,True
An umbrella is behind a chicken from the chicken's perspective. The chicken is facing left relative to the camera.,['right'],right,True
An umbrella is behind a chicken from the chicken's perspective. The chicken is facing away from the camera.,['front'],front,True
An umbrella is behind a chicken from the chicken's perspective. The chicken is facing right relative to the camera.,['left'],left,True
A cat is back of a bag.,['back'],back,True
A bicycle is in front of a suitcase.,['front'],front,True
A tree is in front of a cow from the camera angle. The cow is facing toward the camera.,['front'],front,True
A tree is in front of a cow from the camera angle. The cow is facing left relative to the camera.,['front'],front,True
A tree is in front of a cow from the camera angle. The cow is facing away from the camera.,['front'],back,False
A tree is in front of a cow from the camera angle. The cow is facing right relative to the camera.,['front'],front,True
A cat is in front of a bicycle from the bicycle's perspective. The bicycle is facing toward the camera.,['front'],back,False
A cat is in front of a bicycle from the bicycle's perspective. The bicycle is facing left relative to the camera.,['left'],right,False
A cat is in front of a bicycle from the bicycle's perspective. The bicycle is facing away from the camera.,['back'],front,False
A cat is in front of a bicycle from the bicycle's perspective. The bicycle is facing right relative to the camera.,['right'],left,False
A box is outside and in front of a bus relative to the bus. The bus is facing toward the camera.,['front'],front,True
A box is outside and in front of a bus relative to the bus. The bus is facing left relative to the camera.,['left'],right,False
A box is outside and in front of a bus relative to the bus. The bus is facing away from the camera.,['back'],front,False
A box is outside and in front of a bus relative to the bus. The bus is facing right relative to the camera.,['right'],left,False
A chair is to the left of a horse relative to the horse. The horse is facing toward the camera.,['right'],left,False
A chair is to the left of a horse relative to the horse. The horse is facing left relative to the camera.,['front'],left,False
A chair is to the left of a horse relative to the horse. The horse is facing away from the camera.,['left'],left,True
A chair is to the left of a horse relative to the horse. The horse is facing right relative to the camera.,['back'],left,False
A chair is on the right of a sheep from the sheep's perspective. The sheep is facing toward the camera.,['left'],left,True
A chair is on the right of a sheep from the sheep's perspective. The sheep is facing left relative to the camera.,['back'],left,False
A chair is on the right of a sheep from the sheep's perspective. The sheep is facing away from the camera.,['right'],left,False
A chair is on the right of a sheep from the sheep's perspective. The sheep is facing right relative to the camera.,['front'],left,False
A container is in front of a chicken from my perspective. The chicken is facing toward me.,['front'],back,False
A container is in front of a chicken from my perspective. The chicken is facing left relative to me.,['front'],right,False
A container is in front of a chicken from my perspective. The chicken is facing away from me.,['front'],back,False
A container is in front of a chicken from my perspective. The chicken is facing right relative to me.,['front'],left,False
A bicycle is to the right of a cow from my point of view. The cow is facing toward me.,['right'],left,False
A bicycle is to the right of a cow from my point of view. The cow is facing left relative to me.,['right'],left,False
A bicycle is to the right of a cow from my point of view. The cow is facing away from me.,['right'],left,False
A bicycle is to the right of a cow from my point of view. The cow is facing right relative to me.,['right'],right,True
A bench is on the left of a box within the box.,['left'],left,True
A cow is in front of a sheep from the camera angle. The sheep is facing toward the camera.,['front'],back,False
A cow is in front of a sheep from the camera angle. The sheep is facing left relative to the camera.,['front'],front,True
A cow is in front of a sheep from the camera angle. The sheep is facing away from the camera.,['front'],front,True
A cow is in front of a sheep from the camera angle. The sheep is facing right relative to the camera.,['front'],front,True
A dog is in front of a tree.,['front'],front,True
A chair is in front of a bench from my perspective. The bench is facing toward me.,['front'],front,True
A chair is in front of a bench from my perspective. The bench is facing left relative to me.,['front'],right,False
A chair is in front of a bench from my perspective. The bench is facing away from me.,['front'],front,True
A chair is in front of a bench from my perspective. The bench is facing right relative to me.,['front'],left,False
A bag is on the left of a cat from the camera's perspective. The cat is facing toward the camera.,['left'],left,True
A bag is on the left of a cat from the camera's perspective. The cat is facing left relative to the camera.,['left'],right,False
A bag is on the left of a cat from the camera's perspective. The cat is facing away from the camera.,['left'],left,True
A bag is on the left of a cat from the camera's perspective. The cat is facing right relative to the camera.,['left'],left,True
A cow is outside and on the left of a bus from the camera's perspective. The bus is facing toward the camera.,['left'],left,True
A cow is outside and on the left of a bus from the camera's perspective. The bus is facing left relative to the camera.,['left'],left,True
A cow is outside and on the left of a bus from the camera's perspective. The bus is facing away from the camera.,['left'],right,False
A cow is outside and on the left of a bus from the camera's perspective. The bus is facing right relative to the camera.,['left'],left,True
A cat is to the right of a bicycle relative to observer. The bicycle is facing toward the observer.,['right'],right,True
A cat is to the right of a bicycle relative to observer. The bicycle is facing left relative to the observer.,['right'],left,False
A cat is to the right of a bicycle relative to observer. The bicycle is facing away from the observer.,['right'],right,True
A cat is to the right of a bicycle relative to observer. The bicycle is facing right relative to the observer.,['right'],left,False
A bicycle is to the left of a dog relative to the dog. The dog is facing toward the camera.,['right'],left,False
A bicycle is to the left of a dog relative to the dog. The dog is facing left relative to the camera.,['front'],left,False
A bicycle is to the left of a dog relative to the dog. The dog is facing away from the camera.,['left'],right,False
A bicycle is to the left of a dog relative to the dog. The dog is facing right relative to the camera.,['back'],left,False
An umbrella is outside and to the right of a bus from the bus's perspective. The bus is facing toward the camera.,['left'],right,False
An umbrella is outside and to the right of a bus from the bus's perspective. The bus is facing left relative to the camera.,['back'],right,False
An umbrella is outside and to the right of a bus from the bus's perspective. The bus is facing away from the camera.,['right'],left,False
An umbrella is outside and to the right of a bus from the bus's perspective. The bus is facing right relative to the camera.,['front'],right,False
A bicycle is inside and on the right of a car from the car's perspective. The car is facing toward the camera.,['left'],right,False
A bicycle is inside and on the right of a car from the car's perspective. The car is facing left relative to the camera.,['back'],left,False
A bicycle is inside and on the right of a car from the car's perspective. The car is facing away from the camera.,['right'],left,False
A bicycle is inside and on the right of a car from the car's perspective. The car is facing right relative to the camera.,['front'],right,False
A bench is to the left of a cow relative to observer. The cow is facing toward the observer.,['left'],right,False
A bench is to the left of a cow relative to observer. The cow is facing left relative to the observer.,['left'],left,True
A bench is to the left of a cow relative to observer. The cow is facing away from the observer.,['left'],left,True
A bench is to the left of a cow relative to observer. The cow is facing right relative to the observer.,['left'],left,True
A container is back of a horse relative to observer. The horse is facing toward the observer.,['back'],back,True
A container is back of a horse relative to observer. The horse is facing left relative to the observer.,['back'],right,False
A container is back of a horse relative to observer. The horse is facing away from the observer.,['back'],back,True
A container is back of a horse relative to observer. The horse is facing right relative to the observer.,['back'],left,False
A cow is outside and to the right of a car relative to camera. The car is facing toward the camera.,['right'],left,False
A cow is outside and to the right of a car relative to camera. The car is facing left relative to the camera.,['right'],right,True
A cow is outside and to the right of a car relative to camera. The car is facing away from the camera.,['right'],right,True
A cow is outside and to the right of a car relative to camera. The car is facing right relative to the camera.,['right'],right,True
A horse is outside and behind a car from the camera's perspective. The car is facing toward the camera.,['back'],back,True
A horse is outside and behind a car from the camera's perspective. The car is facing left relative to the camera.,['back'],right,False
A horse is outside and behind a car from the camera's perspective. The car is facing away from the camera.,['back'],back,True
A horse is outside and behind a car from the camera's perspective. The car is facing right relative to the camera.,['back'],left,False
A chair is on the left of a water tank.,['left'],left,True
A deer is outside and on the right of a car relative to camera. The car is facing toward the camera.,['right'],right,True
A deer is outside and on the right of a car relative to camera. The car is facing left relative to the camera.,['right'],right,True
A deer is outside and on the right of a car relative to camera. The car is facing away from the camera.,['right'],right,True
A deer is outside and on the right of a car relative to camera. The car is facing right relative to the camera.,['right'],left,False
A bus is on the right of a tree.,['right'],right,True
A chair is on the left of a suitcase.,['left'],unknown,False
A sheep is on the right of a cow from my point of view. The cow is facing toward me.,['right'],left,False
A sheep is on the right of a cow from my point of view. The cow is facing left relative to me.,['right'],left,False
A sheep is on the right of a cow from my point of view. The cow is facing away from me.,['right'],left,False
A sheep is on the right of a cow from my point of view. The cow is facing right relative to me.,['right'],left,False
A bicycle is inside and at the left of a bus from the bus's perspective. The bus is facing toward the camera.,['right'],left,False
A bicycle is inside and at the left of a bus from the bus's perspective. The bus is facing left relative to the camera.,['front'],left,False
A bicycle is inside and at the left of a bus from the bus's perspective. The bus is facing away from the camera.,['left'],right,False
A bicycle is inside and at the left of a bus from the bus's perspective. The bus is facing right relative to the camera.,['back'],left,False
A tree is behind a chair relative to observer. The chair is facing toward the observer.,['back'],back,True
A tree is behind a chair relative to observer. The chair is facing left relative to the observer.,['back'],right,False
A tree is behind a chair relative to observer. The chair is facing away from the observer.,['back'],back,True
A tree is behind a chair relative to observer. The chair is facing right relative to the observer.,['back'],left,False
A water tank is back of a deer from the deer's perspective. The deer is facing toward the camera.,['back'],back,True
A water tank is back of a deer from the deer's perspective. The deer is facing left relative to the camera.,['right'],right,True
A water tank is back of a deer from the deer's perspective. The deer is facing away from the camera.,['front'],back,False
A water tank is back of a deer from the deer's perspective. The deer is facing right relative to the camera.,['left'],left,True
A dog is behind a chair from the chair's perspective. The chair is facing toward the camera.,['back'],back,True
A dog is behind a chair from the chair's perspective. The chair is facing left relative to the camera.,['right'],right,True
A dog is behind a chair from the chair's perspective. The chair is facing away from the camera.,['front'],front,True
A dog is behind a chair from the chair's perspective. The chair is facing right relative to the camera.,['left'],left,True
A water tank is on the left of a deer from the camera's perspective. The deer is facing toward the camera.,['left'],right,False
A water tank is on the left of a deer from the camera's perspective. The deer is facing left relative to the camera.,['left'],right,False
A water tank is on the left of a deer from the camera's perspective. The deer is facing away from the camera.,['left'],right,False
A water tank is on the left of a deer from the camera's perspective. The deer is facing right relative to the camera.,['left'],left,True
A bag is back of a dog from my perspective. The dog is facing toward me.,['back'],back,True
A bag is back of a dog from my perspective. The dog is facing left relative to me.,['back'],right,False
A bag is back of a dog from my perspective. The dog is facing away from me.,['back'],back,True
A bag is back of a dog from my perspective. The dog is facing right relative to me.,['back'],left,False
A container is on the right of a chicken relative to observer. The chicken is facing toward the observer.,['right'],left,False
A container is on the right of a chicken relative to observer. The chicken is facing left relative to the observer.,['right'],left,False
A container is on the right of a chicken relative to observer. The chicken is facing away from the observer.,['right'],left,False
A container is on the right of a chicken relative to observer. The chicken is facing right relative to the observer.,['right'],left,False
A suitcase is inside and on the right of a bus from the camera angle. The bus is facing toward the camera.,['right'],right,True
A suitcase is inside and on the right of a bus from the camera angle. The bus is facing left relative to the camera.,['right'],right,True
A suitcase is inside and on the right of a bus from the camera angle. The bus is facing away from the camera.,['right'],right,True
A suitcase is inside and on the right of a bus from the camera angle. The bus is facing right relative to the camera.,['right'],right,True
A bus is behind a box.,['back'],back,True
A container is in front of a horse from the camera's perspective. The horse is facing toward the camera.,['front'],front,True
A container is in front of a horse from the camera's perspective. The horse is facing left relative to the camera.,['front'],front,True
A container is in front of a horse from the camera's perspective. The horse is facing away from the camera.,['front'],back,False
A container is in front of a horse from the camera's perspective. The horse is facing right relative to the camera.,['front'],front,True
A dog is to the right of a bench from the camera's perspective. The bench is facing toward the camera.,['right'],left,False
A dog is to the right of a bench from the camera's perspective. The bench is facing left relative to the camera.,['right'],right,True
A dog is to the right of a bench from the camera's perspective. The bench is facing away from the camera.,['right'],right,True
A dog is to the right of a bench from the camera's perspective. The bench is facing right relative to the camera.,['right'],left,False
A bus is back of a horse from the horse's perspective. The horse is facing toward the camera.,['back'],back,True
A bus is back of a horse from the horse's perspective. The horse is facing left relative to the camera.,['right'],right,True
A bus is back of a horse from the horse's perspective. The horse is facing away from the camera.,['front'],back,False
A bus is back of a horse from the horse's perspective. The horse is facing right relative to the camera.,['left'],left,True
An umbrella is inside and at front of a car from my perspective. The car is facing toward me.,['front'],front,True
An umbrella is inside and at front of a car from my perspective. The car is facing left relative to me.,['front'],right,False
An umbrella is inside and at front of a car from my perspective. The car is facing away from me.,['front'],front,True
An umbrella is inside and at front of a car from my perspective. The car is facing right relative to me.,['front'],left,False
A chicken is on the left of a bag.,['left'],left,True
An umbrella is in front of a bicycle from my perspective. The bicycle is facing toward me.,['front'],front,True
An umbrella is in front of a bicycle from my perspective. The bicycle is facing left relative to me.,['front'],front,True
An umbrella is in front of a bicycle from my perspective. The bicycle is facing away from me.,['front'],front,True
An umbrella is in front of a bicycle from my perspective. The bicycle is facing right relative to me.,['front'],front,True
A sheep is on the right of a deer from the deer's perspective. The deer is facing toward the camera.,['left'],left,True
A sheep is on the right of a deer from the deer's perspective. The deer is facing left relative to the camera.,['back'],right,False
A sheep is on the right of a deer from the deer's perspective. The deer is facing away from the camera.,['right'],left,False
A sheep is on the right of a deer from the deer's perspective. The deer is facing right relative to the camera.,['front'],left,False
A bag is on the left of a chicken relative to the chicken. The chicken is facing toward the camera.,['right'],left,False
A bag is on the left of a chicken relative to the chicken. The chicken is facing left relative to the camera.,['front'],right,False
A bag is on the left of a chicken relative to the chicken. The chicken is facing away from the camera.,['left'],right,False
A bag is on the left of a chicken relative to the chicken. The chicken is facing right relative to the camera.,['back'],left,False
A bus is in front of a cow from my perspective. The cow is facing toward me.,['front'],front,True
A bus is in front of a cow from my perspective. The cow is facing left relative to me.,['front'],right,False
A bus is in front of a cow from my perspective. The cow is facing away from me.,['front'],front,True
A bus is in front of a cow from my perspective. The cow is facing right relative to me.,['front'],left,False
A cow is to the left of a bicycle from my point of view. The bicycle is facing toward me.,['left'],left,True
A cow is to the left of a bicycle from my point of view. The bicycle is facing left relative to me.,['left'],right,False
A cow is to the left of a bicycle from my point of view. The bicycle is facing away from me.,['left'],right,False
A cow is to the left of a bicycle from my point of view. The bicycle is facing right relative to me.,['left'],left,True
A bus is in front of a chair from the chair's perspective. The chair is facing toward the camera.,['front'],front,True
A bus is in front of a chair from the chair's perspective. The chair is facing left relative to the camera.,['left'],right,False
A bus is in front of a chair from the chair's perspective. The chair is facing away from the camera.,['back'],front,False
A bus is in front of a chair from the chair's perspective. The chair is facing right relative to the camera.,['right'],left,False
A box is back of a horse from the horse's perspective. The horse is facing toward the camera.,['back'],back,True
A box is back of a horse from the horse's perspective. The horse is facing left relative to the camera.,['right'],right,True
A box is back of a horse from the horse's perspective. The horse is facing away from the camera.,['front'],back,False
A box is back of a horse from the horse's perspective. The horse is facing right relative to the camera.,['left'],left,True
A chair is on the left of a cow relative to the cow. The cow is facing toward the camera.,['right'],left,False
A chair is on the left of a cow relative to the cow. The cow is facing left relative to the camera.,['front'],right,False
A chair is on the left of a cow relative to the cow. The cow is facing away from the camera.,['left'],right,False
A chair is on the left of a cow relative to the cow. The cow is facing right relative to the camera.,['back'],left,False
A dog is to the right of a bicycle from my perspective. The bicycle is facing toward me.,['right'],right,True
A dog is to the right of a bicycle from my perspective. The bicycle is facing left relative to me.,['right'],right,True
A dog is to the right of a bicycle from my perspective. The bicycle is facing away from me.,['right'],left,False
A dog is to the right of a bicycle from my perspective. The bicycle is facing right relative to me.,['right'],left,False
A box is back of a bench from the bench's perspective. The bench is facing toward the camera.,['back'],back,True
A box is back of a bench from the bench's perspective. The bench is facing left relative to the camera.,['right'],right,True
A box is back of a bench from the bench's perspective. The bench is facing away from the camera.,['front'],front,True
A box is back of a bench from the bench's perspective. The bench is facing right relative to the camera.,['left'],left,True
A water tank is behind a dog from the camera angle. The dog is facing toward the camera.,['back'],back,True
A water tank is behind a dog from the camera angle. The dog is facing left relative to the camera.,['back'],right,False
A water tank is behind a dog from the camera angle. The dog is facing away from the camera.,['back'],back,True
A water tank is behind a dog from the camera angle. The dog is facing right relative to the camera.,['back'],left,False
An umbrella is back of a container and outside of the container.,['back'],back,True
A cow is to the right of a horse from the horse's perspective. The horse is facing toward the camera.,['left'],left,True
A cow is to the right of a horse from the horse's perspective. The horse is facing left relative to the camera.,['back'],left,False
A cow is to the right of a horse from the horse's perspective. The horse is facing away from the camera.,['right'],left,False
A cow is to the right of a horse from the horse's perspective. The horse is facing right relative to the camera.,['front'],left,False
A bench is behind a bicycle from the bicycle's perspective. The bicycle is facing toward the camera.,['back'],back,True
A bench is behind a bicycle from the bicycle's perspective. The bicycle is facing left relative to the camera.,['right'],right,True
A bench is behind a bicycle from the bicycle's perspective. The bicycle is facing away from the camera.,['front'],back,False
A bench is behind a bicycle from the bicycle's perspective. The bicycle is facing right relative to the camera.,['left'],left,True
A sheep is to the right of a chair from the camera's perspective. The chair is facing toward the camera.,['right'],right,True
A sheep is to the right of a chair from the camera's perspective. The chair is facing left relative to the camera.,['right'],right,True
A sheep is to the right of a chair from the camera's perspective. The chair is facing away from the camera.,['right'],left,False
A sheep is to the right of a chair from the camera's perspective. The chair is facing right relative to the camera.,['right'],right,True
A fire hydrant is back of a bench relative to the bench. The bench is facing toward the camera.,['back'],back,True
A fire hydrant is back of a bench relative to the bench. The bench is facing left relative to the camera.,['right'],right,True
A fire hydrant is back of a bench relative to the bench. The bench is facing away from the camera.,['front'],back,False
A fire hydrant is back of a bench relative to the bench. The bench is facing right relative to the camera.,['left'],left,True
A fire hydrant is back of a sheep from the sheep's perspective. The sheep is facing toward the camera.,['back'],back,True
A fire hydrant is back of a sheep from the sheep's perspective. The sheep is facing left relative to the camera.,['right'],right,True
A fire hydrant is back of a sheep from the sheep's perspective. The sheep is facing away from the camera.,['front'],front,True
A fire hydrant is back of a sheep from the sheep's perspective. The sheep is facing right relative to the camera.,['left'],left,True
A car is in front of a sheep relative to the sheep. The sheep is facing toward the camera.,['front'],front,True
A car is in front of a sheep relative to the sheep. The sheep is facing left relative to the camera.,['left'],right,False
A car is in front of a sheep relative to the sheep. The sheep is facing away from the camera.,['back'],back,True
A car is in front of a sheep relative to the sheep. The sheep is facing right relative to the camera.,['right'],left,False
A container is to the left of a tree.,['left'],left,True
A bench is to the right of a cow relative to the cow. The cow is facing toward the camera.,['left'],left,True
A bench is to the right of a cow relative to the cow. The cow is facing left relative to the camera.,['back'],left,False
A bench is to the right of a cow relative to the cow. The cow is facing away from the camera.,['right'],right,True
A bench is to the right of a cow relative to the cow. The cow is facing right relative to the camera.,['front'],right,False
A bag is outside and back of a car from my point of view. The car is facing toward me.,['back'],back,True
A bag is outside and back of a car from my point of view. The car is facing left relative to me.,['back'],right,False
A bag is outside and back of a car from my point of view. The car is facing away from me.,['back'],back,True
A bag is outside and back of a car from my point of view. The car is facing right relative to me.,['back'],left,False
A water tank is back of a cow from the cow's perspective. The cow is facing toward the camera.,['back'],back,True
A water tank is back of a cow from the cow's perspective. The cow is facing left relative to the camera.,['right'],right,True
A water tank is back of a cow from the cow's perspective. The cow is facing away from the camera.,['front'],back,False
A water tank is back of a cow from the cow's perspective. The cow is facing right relative to the camera.,['left'],left,True
A chair is outside and on the left of a car relative to observer. The car is facing toward the observer.,['left'],left,True
A chair is outside and on the left of a car relative to observer. The car is facing left relative to the observer.,['left'],left,True
A chair is outside and on the left of a car relative to observer. The car is facing away from the observer.,['left'],left,True
A chair is outside and on the left of a car relative to observer. The car is facing right relative to the observer.,['left'],left,True
A horse is on the right of a sheep from the sheep's perspective. The sheep is facing toward the camera.,['left'],left,True
A horse is on the right of a sheep from the sheep's perspective. The sheep is facing left relative to the camera.,['back'],left,False
A horse is on the right of a sheep from the sheep's perspective. The sheep is facing away from the camera.,['right'],left,False
A horse is on the right of a sheep from the sheep's perspective. The sheep is facing right relative to the camera.,['front'],left,False
A chair is back of a horse relative to the horse. The horse is facing toward the camera.,['back'],back,True
A chair is back of a horse relative to the horse. The horse is facing left relative to the camera.,['right'],right,True
A chair is back of a horse relative to the horse. The horse is facing away from the camera.,['front'],back,False
A chair is back of a horse relative to the horse. The horse is facing right relative to the camera.,['left'],left,True
A cow is in front of a horse from the horse's perspective. The horse is facing toward the camera.,['front'],back,False
A cow is in front of a horse from the horse's perspective. The horse is facing left relative to the camera.,['left'],right,False
A cow is in front of a horse from the horse's perspective. The horse is facing away from the camera.,['back'],left,False
A cow is in front of a horse from the horse's perspective. The horse is facing right relative to the camera.,['right'],left,False
A cat is to the left of a horse relative to the horse. The horse is facing toward the camera.,['right'],left,False
A cat is to the left of a horse relative to the horse. The horse is facing left relative to the camera.,['front'],left,False
A cat is to the left of a horse relative to the horse. The horse is facing away from the camera.,['left'],left,True
A cat is to the left of a horse relative to the horse. The horse is facing right relative to the camera.,['back'],left,False
A chicken is to the right of a cat relative to the cat. The cat is facing toward the camera.,['left'],right,False
A chicken is to the right of a cat relative to the cat. The cat is facing left relative to the camera.,['back'],right,False
A chicken is to the right of a cat relative to the cat. The cat is facing away from the camera.,['right'],left,False
A chicken is to the right of a cat relative to the cat. The cat is facing right relative to the camera.,['front'],right,False
A cow is in front of a tree.,['front'],front,True
A box is to the right of a bicycle from my point of view. The bicycle is facing toward me.,['right'],right,True
A box is to the right of a bicycle from my point of view. The bicycle is facing left relative to me.,['right'],left,False
A box is to the right of a bicycle from my point of view. The bicycle is facing away from me.,['right'],left,False
A box is to the right of a bicycle from my point of view. The bicycle is facing right relative to me.,['right'],left,False
A bus is back of a cow relative to the cow. The cow is facing toward the camera.,['back'],back,True
A bus is back of a cow relative to the cow. The cow is facing left relative to the camera.,['right'],right,True
A bus is back of a cow relative to the cow. The cow is facing away from the camera.,['front'],back,False
A bus is back of a cow relative to the cow. The cow is facing right relative to the camera.,['left'],left,True
A fire hydrant is in front of a sheep relative to camera. The sheep is facing toward the camera.,['front'],front,True
A fire hydrant is in front of a sheep relative to camera. The sheep is facing left relative to the camera.,['front'],right,False
A fire hydrant is in front of a sheep relative to camera. The sheep is facing away from the camera.,['front'],front,True
A fire hydrant is in front of a sheep relative to camera. The sheep is facing right relative to the camera.,['front'],left,False
A deer is back of a dog relative to the dog. The dog is facing toward the camera.,['back'],back,True
A deer is back of a dog relative to the dog. The dog is facing left relative to the camera.,['right'],right,True
A deer is back of a dog relative to the dog. The dog is facing away from the camera.,['front'],back,False
A deer is back of a dog relative to the dog. The dog is facing right relative to the camera.,['left'],left,True
A bag is on the right of a chair relative to observer. The chair is facing toward the observer.,['right'],right,True
A bag is on the right of a chair relative to observer. The chair is facing left relative to the observer.,['right'],right,True
A bag is on the right of a chair relative to observer. The chair is facing away from the observer.,['right'],left,False
A bag is on the right of a chair relative to observer. The chair is facing right relative to the observer.,['right'],left,False
A tree is to the left of a bench relative to observer. The bench is facing toward the observer.,['left'],left,True
A tree is to the left of a bench relative to observer. The bench is facing left relative to the observer.,['left'],left,True
A tree is to the left of a bench relative to observer. The bench is facing away from the observer.,['left'],left,True
A tree is to the left of a bench relative to observer. The bench is facing right relative to the observer.,['left'],left,True
A tree is on the left of a water tank.,['left'],left,True
A car is in front of a chicken from the chicken's perspective. The chicken is facing toward the camera.,['front'],front,True
A car is in front of a chicken from the chicken's perspective. The chicken is facing left relative to the camera.,['left'],left,True
A car is in front of a chicken from the chicken's perspective. The chicken is facing away from the camera.,['back'],back,True
A car is in front of a chicken from the chicken's perspective. The chicken is facing right relative to the camera.,['right'],left,False
A bus is to the right of a horse from the horse's perspective. The horse is facing toward the camera.,['left'],left,True
A bus is to the right of a horse from the horse's perspective. The horse is facing left relative to the camera.,['back'],left,False
A bus is to the right of a horse from the horse's perspective. The horse is facing away from the camera.,['right'],left,False
A bus is to the right of a horse from the horse's perspective. The horse is facing right relative to the camera.,['front'],left,False
A water tank is to the left of a horse from the camera's perspective. The horse is facing toward the camera.,['left'],right,False
A water tank is to the left of a horse from the camera's perspective. The horse is facing left relative to the camera.,['left'],left,True
A water tank is to the left of a horse from the camera's perspective. The horse is facing away from the camera.,['left'],left,True
