id,gold_answers,predicted_answer,correct
FRCLTEXT000038_back,right,left,False
FRCLTEXT000038_right,front,right,False
FRCLTEXT000039_front,left,left,True
FRCLTEXT000039_left,left,front,False
FRCLTEXT000039_back,left,left,True
FRCLTEXT000039_right,left,left,True
FRCLTEXT000040_front,back,back,True
FRCLTEXT000040_left,back,right,False
FRCLTEXT000040_back,back,front,False
FRCLTEXT000040_right,back,left,False
FRCLTEXT000041_front,right,right,True
FRCLTEXT000041_left,right,back,False
FRCLTEXT000041_back,right,right,True
FRCLTEXT000041_right,right,front,False
FRCLTEXT000042_front,back,back,True
FRCLTEXT000042_left,back,right,False
FRCLTEXT000042_back,back,back,True
FRCLTEXT000042_right,back,left,False
FRCLTEXT000043,left,left,True
FRCLTEXT000044_front,right,right,True
FRCLTEXT000044_left,right,right,True
FRCLTEXT000044_back,right,front,False
FRCLTEXT000044_right,right,right,True
FRCLTEXT000045,right,right,True
FRCLTEXT000046,left,left,True
FRCLTEXT000047_front,right,right,True
FRCLTEXT000047_left,right,back,False
FRCLTEXT000047_back,right,right,True
FRCLTEXT000047_right,right,front,False
FRCLTEXT000048_front,right,left,False
FRCLTEXT000048_left,front,front,True
FRCLTEXT000048_back,left,right,False
FRCLTEXT000048_right,back,front,False
FRCLTEXT000049_front,back,back,True
FRCLTEXT000049_left,back,back,True
FRCLTEXT000049_back,back,front,False
FRCLTEXT000049_right,back,back,True
FRCLTEXT000050_front,back,back,True
FRCLTEXT000050_left,right,right,True
FRCLTEXT000050_back,front,front,True
FRCLTEXT000050_right,left,left,True
FRCLTEXT000051_front,back,back,True
FRCLTEXT000051_left,right,right,True
FRCLTEXT000051_back,front,front,True
FRCLTEXT000051_right,left,left,True
FRCLTEXT000052_front,left,left,True
FRCLTEXT000052_left,left,front,False
FRCLTEXT000052_back,left,right,False
FRCLTEXT000052_right,left,left,True
FRCLTEXT000053_front,back,back,True
FRCLTEXT000053_left,back,right,False
FRCLTEXT000053_back,back,front,False
FRCLTEXT000053_right,back,left,False
FRCLTEXT000054_front,right,right,True
FRCLTEXT000054_left,right,right,True
FRCLTEXT000054_back,right,right,True
FRCLTEXT000054_right,right,front,False
FRCLTEXT000055_front,right,right,True
FRCLTEXT000055_left,right,right,True
FRCLTEXT000055_back,right,front,False
FRCLTEXT000055_right,right,right,True
FRCLTEXT000056,back,back,True
FRCLTEXT000057_front,front,front,True
FRCLTEXT000057_left,front,left,False
FRCLTEXT000057_back,front,back,False
FRCLTEXT000057_right,front,front,True
FRCLTEXT000058_front,right,right,True
FRCLTEXT000058_left,right,right,True
FRCLTEXT000058_back,right,right,True
FRCLTEXT000058_right,right,front,False
FRCLTEXT000059_front,back,back,True
FRCLTEXT000059_left,right,right,True
FRCLTEXT000059_back,front,front,True
FRCLTEXT000059_right,left,left,True
FRCLTEXT000060_front,front,front,True
FRCLTEXT000060_left,front,right,False
FRCLTEXT000060_back,front,back,False
FRCLTEXT000060_right,front,left,False
FRCLTEXT000061,left,left,True
FRCLTEXT000062_front,front,back,False
FRCLTEXT000062_left,front,front,True
FRCLTEXT000062_back,front,back,False
FRCLTEXT000062_right,front,right,False
FRCLTEXT000063_front,left,right,False
FRCLTEXT000063_left,back,right,False
FRCLTEXT000063_back,right,left,False
FRCLTEXT000063_right,front,right,False
FRCLTEXT000064_front,right,left,False
FRCLTEXT000064_left,front,left,False
FRCLTEXT000064_back,left,right,False
FRCLTEXT000064_right,back,left,False
FRCLTEXT000065_front,front,back,False
FRCLTEXT000065_left,front,front,True
FRCLTEXT000065_back,front,back,False
FRCLTEXT000065_right,front,front,True
FRCLTEXT000066_front,left,left,True
FRCLTEXT000066_left,left,front,False
FRCLTEXT000066_back,left,right,False
FRCLTEXT000066_right,left,back,False
FRCLTEXT000067_front,front,front,True
FRCLTEXT000067_left,left,right,False
FRCLTEXT000067_back,back,back,True
FRCLTEXT000067_right,right,left,False
FRCLTEXT000068_front,back,back,True
FRCLTEXT000068_left,right,right,True
FRCLTEXT000068_back,front,front,True
FRCLTEXT000068_right,left,left,True
FRCLTEXT000069_front,right,left,False
FRCLTEXT000069_left,front,front,True
FRCLTEXT000069_back,left,right,False
FRCLTEXT000069_right,back,left,False
FRCLTEXT000070_front,right,right,True
FRCLTEXT000070_left,right,back,False
FRCLTEXT000070_back,right,left,False
FRCLTEXT000070_right,right,right,True
FRCLTEXT000071_front,back,back,True
FRCLTEXT000071_left,right,right,True
FRCLTEXT000071_back,front,front,True
FRCLTEXT000071_right,left,left,True
FRCLTEXT000072_front,back,back,True
FRCLTEXT000072_left,back,back,True
FRCLTEXT000072_back,back,back,True
FRCLTEXT000072_right,back,left,False
FRCLTEXT000073,back,back,True
FRCLTEXT000074_front,left,right,False
FRCLTEXT000074_left,back,right,False
FRCLTEXT000074_back,right,left,False
FRCLTEXT000074_right,front,right,False
FRCLTEXT000075_front,back,back,True
FRCLTEXT000075_left,right,right,True
FRCLTEXT000075_back,front,front,True
FRCLTEXT000075_right,left,left,True
FRCLTEXT000076_front,right,right,True
FRCLTEXT000076_left,right,right,True
FRCLTEXT000076_back,right,left,False
FRCLTEXT000076_right,right,back,False
FRCLTEXT000077_front,back,back,True
FRCLTEXT000077_left,right,right,True
FRCLTEXT000077_back,front,front,True
FRCLTEXT000077_right,left,left,True
FRCLTEXT000078_front,back,back,True
FRCLTEXT000078_left,right,right,True
FRCLTEXT000078_back,front,front,True
FRCLTEXT000078_right,left,left,True
FRCLTEXT000079_front,front,front,True
FRCLTEXT000079_left,left,right,False
FRCLTEXT000079_back,back,back,True
FRCLTEXT000079_right,right,left,False
FRCLTEXT000080,left,right,False
FRCLTEXT000081_front,left,right,False
FRCLTEXT000081_left,back,right,False
FRCLTEXT000081_back,right,left,False
FRCLTEXT000081_right,front,right,False
FRCLTEXT000082_front,back,front,False
FRCLTEXT000082_left,back,right,False
FRCLTEXT000082_back,back,front,False
FRCLTEXT000082_right,back,left,False
FRCLTEXT000083_front,back,back,True
FRCLTEXT000083_left,right,right,True
FRCLTEXT000083_back,front,front,True
FRCLTEXT000083_right,left,left,True
FRCLTEXT000084_front,left,left,True
FRCLTEXT000084_left,left,front,False
FRCLTEXT000084_back,left,left,True
FRCLTEXT000084_right,left,left,True
FRCLTEXT000085_front,left,right,False
FRCLTEXT000085_left,back,right,False
FRCLTEXT000085_back,right,left,False
FRCLTEXT000085_right,front,front,True
FRCLTEXT000086_front,back,back,True
FRCLTEXT000086_left,right,right,True
FRCLTEXT000086_back,front,front,True
FRCLTEXT000086_right,left,left,True
FRCLTEXT000087_front,front,front,True
FRCLTEXT000087_left,left,left,True
FRCLTEXT000087_back,back,back,True
FRCLTEXT000087_right,right,left,False
FRCLTEXT000088_front,right,left,False
FRCLTEXT000088_left,front,left,False
FRCLTEXT000088_back,left,front,False
FRCLTEXT000088_right,back,left,False
FRCLTEXT000089_front,left,right,False
FRCLTEXT000089_left,back,right,False
FRCLTEXT000089_back,right,left,False
FRCLTEXT000089_right,front,right,False
FRCLTEXT000090,front,front,True
FRCLTEXT000091_front,right,right,True
FRCLTEXT000091_left,right,right,True
FRCLTEXT000091_back,right,back,False
FRCLTEXT000091_right,right,front,False
FRCLTEXT000092_front,back,back,True
FRCLTEXT000092_left,right,right,True
FRCLTEXT000092_back,front,front,True
FRCLTEXT000092_right,left,left,True
FRCLTEXT000093_front,front,front,True
FRCLTEXT000093_left,front,front,True
FRCLTEXT000093_back,front,front,True
FRCLTEXT000093_right,front,left,False
FRCLTEXT000094_front,back,back,True
FRCLTEXT000094_left,right,right,True
FRCLTEXT000094_back,front,front,True
FRCLTEXT000094_right,left,left,True
FRCLTEXT000095_front,right,right,True
FRCLTEXT000095_left,right,right,True
FRCLTEXT000095_back,right,right,True
FRCLTEXT000095_right,right,front,False
FRCLTEXT000096_front,left,left,True
FRCLTEXT000096_left,left,front,False
FRCLTEXT000096_back,left,left,True
FRCLTEXT000096_right,left,left,True
FRCLTEXT000097,left,left,True
FRCLTEXT000098_front,front,front,True
FRCLTEXT000098_left,left,left,True
FRCLTEXT000098_back,back,back,True
FRCLTEXT000098_right,right,left,False
FRCLTEXT000099_front,left,right,False
FRCLTEXT000099_left,back,right,False
FRCLTEXT000099_back,right,left,False
FRCLTEXT000099_right,front,front,True
FRCLTEXT000100_front,left,left,True
FRCLTEXT000100_left,left,front,False
FRCLTEXT000100_back,left,right,False
FRCLTEXT000100_right,left,left,True
FRCLTEXT000101,right,right,True
FRCLTEXT000102_front,left,left,True
FRCLTEXT000102_left,left,front,False
FRCLTEXT000102_back,left,right,False
FRCLTEXT000102_right,left,left,True
FRCLTEXT000103_front,front,front,True
FRCLTEXT000103_left,left,left,True
FRCLTEXT000103_back,back,back,True
FRCLTEXT000103_right,right,left,False
FRCLTEXT000104,left,left,True
FRCLTEXT000105_front,right,right,True
FRCLTEXT000105_left,right,back,False
FRCLTEXT000105_back,right,left,False
FRCLTEXT000105_right,right,front,False
FRCLTEXT000106_front,back,back,True
FRCLTEXT000106_left,right,right,True
FRCLTEXT000106_back,front,front,True
FRCLTEXT000106_right,left,left,True
FRCLTEXT000107,right,right,True
FRCLTEXT000108,right,right,True
FRCLTEXT000109,left,left,True
FRCLTEXT000110_front,back,back,True
FRCLTEXT000110_left,right,right,True
FRCLTEXT000110_back,front,front,True
FRCLTEXT000110_right,left,left,True
FRCLTEXT000111_front,left,left,True
FRCLTEXT000111_left,left,front,False
FRCLTEXT000111_back,left,right,False
FRCLTEXT000111_right,left,left,True
FRCLTEXT000112_front,right,left,False
FRCLTEXT000112_left,front,front,True
FRCLTEXT000112_back,left,right,False
FRCLTEXT000112_right,back,left,False
FRCLTEXT000113_front,back,back,True
FRCLTEXT000113_left,right,right,True
FRCLTEXT000113_back,front,front,True
FRCLTEXT000113_right,left,left,True
FRCLTEXT000114_front,back,back,True
FRCLTEXT000114_left,back,right,False
FRCLTEXT000114_back,back,front,False
FRCLTEXT000114_right,back,left,False
FRCLTEXT000115_front,front,front,True
FRCLTEXT000115_left,front,front,True
FRCLTEXT000115_back,front,back,False
FRCLTEXT000115_right,front,right,False
FRCLTEXT000116_front,left,right,False
FRCLTEXT000116_left,back,right,False
FRCLTEXT000116_back,right,front,False
FRCLTEXT000116_right,front,right,False
FRCLTEXT000117_front,left,right,False
FRCLTEXT000117_left,back,right,False
FRCLTEXT000117_back,right,left,False
FRCLTEXT000117_right,front,right,False
FRCLTEXT000118,front,front,True
FRCLTEXT000119,right,right,True
FRCLTEXT000120_front,front,front,True
FRCLTEXT000120_left,front,right,False
FRCLTEXT000120_back,front,back,False
FRCLTEXT000120_right,front,left,False
FRCLTEXT000121_front,front,front,True
FRCLTEXT000121_left,front,front,True
FRCLTEXT000121_back,front,back,False
FRCLTEXT000121_right,front,right,False
FRCLTEXT000122_front,left,right,False
FRCLTEXT000122_left,back,left,False
FRCLTEXT000122_back,right,left,False
FRCLTEXT000122_right,front,right,False
FRCLTEXT000123_front,right,right,True
FRCLTEXT000123_left,right,back,False
FRCLTEXT000123_back,right,right,True
FRCLTEXT000123_right,right,front,False
FRCLTEXT000124_front,left,left,True
FRCLTEXT000124_left,left,front,False
FRCLTEXT000124_back,left,left,True
FRCLTEXT000124_right,left,left,True
FRCLTEXT000125_front,left,left,True
FRCLTEXT000125_left,left,front,False
FRCLTEXT000125_back,left,left,True
FRCLTEXT000125_right,left,left,True
FRCLTEXT000126_front,front,front,True
FRCLTEXT000126_left,left,left,True
FRCLTEXT000126_back,back,back,True
FRCLTEXT000126_right,right,left,False
FRCLTEXT000127_front,front,front,True
FRCLTEXT000127_left,front,left,False
FRCLTEXT000127_back,front,back,False
FRCLTEXT000127_right,front,left,False
FRCLTEXT000128,left,left,True
FRCLTEXT000129_front,front,front,True
FRCLTEXT000129_left,front,front,True
FRCLTEXT000129_back,front,back,False
FRCLTEXT000129_right,front,front,True
FRCLTEXT000130_front,front,front,True
FRCLTEXT000130_left,front,front,True
FRCLTEXT000130_back,front,back,False
FRCLTEXT000130_right,front,front,True
FRCLTEXT000131_front,left,left,True
FRCLTEXT000131_left,left,front,False
FRCLTEXT000131_back,left,left,True
FRCLTEXT000131_right,left,left,True
FRCLTEXT000132_front,left,right,False
FRCLTEXT000132_left,back,right,False
FRCLTEXT000132_back,right,left,False
FRCLTEXT000132_right,front,right,False
FRCLTEXT000133_front,back,back,True
FRCLTEXT000133_left,back,right,False
FRCLTEXT000133_back,back,front,False
FRCLTEXT000133_right,back,left,False
FRCLTEXT000134_front,back,back,True
FRCLTEXT000134_left,right,right,True
FRCLTEXT000134_back,front,front,True
FRCLTEXT000134_right,left,left,True
FRCLTEXT000135_front,back,back,True
FRCLTEXT000135_left,right,right,True
FRCLTEXT000135_back,front,front,True
FRCLTEXT000135_right,left,left,True
FRCLTEXT000136_front,front,front,True
FRCLTEXT000136_left,left,left,True
FRCLTEXT000136_back,back,back,True
FRCLTEXT000136_right,right,left,False
FRCLTEXT000137_front,left,right,False
FRCLTEXT000137_left,back,right,False
FRCLTEXT000137_back,right,left,False
FRCLTEXT000137_right,front,right,False
FRCLTEXT000138_front,right,left,False
FRCLTEXT000138_left,front,left,False
FRCLTEXT000138_back,left,right,False
FRCLTEXT000138_right,back,left,False
FRCLTEXT000139_front,left,right,False
FRCLTEXT000139_left,back,right,False
FRCLTEXT000139_back,right,front,False
FRCLTEXT000139_right,front,front,True
FRCLTEXT000140,right,right,True
FRCLTEXT000141_front,front,front,True
FRCLTEXT000141_left,front,front,True
FRCLTEXT000141_back,front,back,False
FRCLTEXT000141_right,front,front,True
FRCLTEXT000142_front,front,back,False
FRCLTEXT000142_left,front,right,False
FRCLTEXT000142_back,front,front,True
FRCLTEXT000142_right,front,front,True
FRCLTEXT000143_front,front,front,True
FRCLTEXT000143_left,front,front,True
FRCLTEXT000143_back,front,front,True
FRCLTEXT000143_right,front,front,True
FRCLTEXT000144_front,front,front,True
FRCLTEXT000144_left,left,right,False
FRCLTEXT000144_back,back,back,True
FRCLTEXT000144_right,right,left,False
FRCLTEXT000145,back,back,True
FRCLTEXT000146,back,back,True
FRCLTEXT000147_front,left,left,True
FRCLTEXT000147_left,left,front,False
FRCLTEXT000147_back,left,left,True
FRCLTEXT000147_right,left,left,True
FRCLTEXT000148,front,right,False
FRCLTEXT000149,front,front,True
FRCLTEXT000150_front,front,front,True
FRCLTEXT000150_left,left,right,False
FRCLTEXT000150_back,back,back,True
FRCLTEXT000150_right,right,left,False
FRCLTEXT000151_front,left,right,False
FRCLTEXT000151_left,back,left,False
FRCLTEXT000151_back,right,left,False
FRCLTEXT000151_right,front,right,False
FRCLTEXT000152,right,right,True
FRCLTEXT000153_front,left,right,False
FRCLTEXT000153_left,back,right,False
FRCLTEXT000153_back,right,left,False
FRCLTEXT000153_right,front,right,False
FRCLTEXT000154_front,left,left,True
FRCLTEXT000154_left,left,front,False
FRCLTEXT000154_back,left,left,True
FRCLTEXT000154_right,left,left,True
FRCLTEXT000155,left,left,True
FRCLTEXT000156_front,front,front,True
FRCLTEXT000156_left,left,right,False
FRCLTEXT000156_back,back,back,True
FRCLTEXT000156_right,right,left,False
FRCLTEXT000157_front,left,left,True
FRCLTEXT000157_left,left,front,False
FRCLTEXT000157_back,left,left,True
FRCLTEXT000157_right,left,left,True
FRCLTEXT000158_front,back,back,True
FRCLTEXT000158_left,back,right,False
FRCLTEXT000158_back,back,back,True
FRCLTEXT000158_right,back,back,True
FRCLTEXT000159_front,back,back,True
FRCLTEXT000159_left,back,back,True
FRCLTEXT000159_back,back,back,True
FRCLTEXT000159_right,back,left,False
FRCLTEXT000160_front,left,right,False
FRCLTEXT000160_left,left,front,False
FRCLTEXT000160_back,left,right,False
FRCLTEXT000160_right,left,back,False
FRCLTEXT000161_front,left,right,False
FRCLTEXT000161_left,back,right,False
FRCLTEXT000161_back,right,front,False
FRCLTEXT000161_right,front,right,False
FRCLTEXT000162_front,front,front,True
FRCLTEXT000162_left,left,left,True
FRCLTEXT000162_back,back,back,True
FRCLTEXT000162_right,right,left,False
FRCLTEXT000163_front,back,back,True
FRCLTEXT000163_left,right,right,True
FRCLTEXT000163_back,front,front,True
FRCLTEXT000163_right,left,left,True
FRCLTEXT000164_front,right,left,False
FRCLTEXT000164_left,front,left,False
FRCLTEXT000164_back,left,right,False
FRCLTEXT000164_right,back,left,False
FRCLTEXT000165_front,left,left,True
FRCLTEXT000165_left,left,front,False
FRCLTEXT000165_back,left,right,False
FRCLTEXT000165_right,left,left,True
FRCLTEXT000166_front,back,back,True
FRCLTEXT000166_left,right,right,True
FRCLTEXT000166_back,front,front,True
FRCLTEXT000166_right,left,left,True
FRCLTEXT000167_front,left,right,False
FRCLTEXT000167_left,back,right,False
FRCLTEXT000167_back,right,left,False
FRCLTEXT000167_right,front,right,False
FRCLTEXT000168_front,back,back,True
FRCLTEXT000168_left,back,back,True
FRCLTEXT000168_back,back,front,False
FRCLTEXT000168_right,back,left,False
FRCLTEXT000169_front,right,left,False
FRCLTEXT000169_left,front,front,True
FRCLTEXT000169_back,left,right,False
FRCLTEXT000169_right,back,left,False
FRCLTEXT000170,front,front,True
FRCLTEXT000171,front,front,True
FRCLTEXT000172_front,right,left,False
FRCLTEXT000172_left,front,front,True
FRCLTEXT000172_back,left,right,False
FRCLTEXT000172_right,back,left,False
FRCLTEXT000173_front,left,left,True
FRCLTEXT000173_left,left,front,False
FRCLTEXT000173_back,left,front,False
FRCLTEXT000173_right,left,left,True
FRCLTEXT000174,front,front,True
FRCLTEXT000175_front,front,front,True
FRCLTEXT000175_left,left,left,True
FRCLTEXT000175_back,back,back,True
FRCLTEXT000175_right,right,left,False
FRCLTEXT000176_front,right,right,True
FRCLTEXT000176_left,right,right,True
FRCLTEXT000176_back,right,right,True
FRCLTEXT000176_right,right,back,False
FRCLTEXT000177,left,left,True
FRCLTEXT000178,left,right,False
FRCLTEXT000179_front,right,right,True
FRCLTEXT000179_left,right,right,True
FRCLTEXT000179_back,right,front,False
FRCLTEXT000179_right,right,right,True
FRCLTEXT000180_front,front,front,True
FRCLTEXT000180_left,front,front,True
FRCLTEXT000180_back,front,back,False
FRCLTEXT000180_right,front,front,True
FRCLTEXT000181_front,right,left,False
FRCLTEXT000181_left,front,front,True
FRCLTEXT000181_back,left,right,False
FRCLTEXT000181_right,back,left,False
FRCLTEXT000182,back,back,True
FRCLTEXT000183_front,back,back,True
FRCLTEXT000183_left,back,back,True
FRCLTEXT000183_back,back,front,False
FRCLTEXT000183_right,back,left,False
FRCLTEXT000184_front,front,front,True
FRCLTEXT000184_left,left,right,False
FRCLTEXT000184_back,back,back,True
FRCLTEXT000184_right,right,left,False
FRCLTEXT000185_front,front,front,True
FRCLTEXT000185_left,left,right,False
FRCLTEXT000185_back,back,back,True
FRCLTEXT000185_right,right,left,False
FRCLTEXT000186_front,right,front,False
FRCLTEXT000186_left,right,right,True
FRCLTEXT000186_back,right,front,False
FRCLTEXT000186_right,right,right,True
FRCLTEXT000187,front,front,True
FRCLTEXT000188_front,front,front,True
FRCLTEXT000188_left,left,right,False
FRCLTEXT000188_back,back,back,True
FRCLTEXT000188_right,right,left,False
FRCLTEXT000189_front,right,left,False
FRCLTEXT000189_left,front,front,True
FRCLTEXT000189_back,left,right,False
FRCLTEXT000189_right,back,left,False
FRCLTEXT000190,right,right,True
FRCLTEXT000191_front,front,front,True
FRCLTEXT000191_left,left,right,False
FRCLTEXT000191_back,back,back,True
FRCLTEXT000191_right,right,left,False
FRCLTEXT000192,right,right,True
FRCLTEXT000193_front,left,right,False
FRCLTEXT000193_left,back,right,False
FRCLTEXT000193_back,right,left,False
FRCLTEXT000193_right,front,front,True
FRCLTEXT000194_front,right,left,False
FRCLTEXT000194_left,front,front,True
FRCLTEXT000194_back,left,right,False
FRCLTEXT000194_right,back,left,False
FRCLTEXT000195_front,back,back,True
FRCLTEXT000195_left,back,back,True
FRCLTEXT000195_back,back,back,True
FRCLTEXT000195_right,back,back,True
FRCLTEXT000196_front,right,left,False
FRCLTEXT000196_left,front,front,True
FRCLTEXT000196_back,left,right,False
FRCLTEXT000196_right,back,left,False
FRCLTEXT000197_front,back,back,True
FRCLTEXT000197_left,right,right,True
FRCLTEXT000197_back,front,front,True
FRCLTEXT000197_right,left,left,True
FRCLTEXT000198_front,back,back,True
FRCLTEXT000198_left,back,right,False
FRCLTEXT000198_back,back,back,True
FRCLTEXT000198_right,back,back,True
FRCLTEXT000199_front,back,back,True
FRCLTEXT000199_left,back,back,True
FRCLTEXT000199_back,back,back,True
FRCLTEXT000199_right,back,left,False
FRCLTEXT000200,back,back,True
FRCLTEXT000201_front,back,back,True
FRCLTEXT000201_left,right,right,True
FRCLTEXT000201_back,front,front,True
FRCLTEXT000201_right,left,left,True
FRCLTEXT000202_front,left,left,True
FRCLTEXT000202_left,left,front,False
FRCLTEXT000202_back,left,left,True
FRCLTEXT000202_right,left,left,True
FRCLTEXT000203_front,right,right,True
FRCLTEXT000203_left,right,right,True
FRCLTEXT000203_back,right,left,False
FRCLTEXT000203_right,right,front,False
FRCLTEXT000204_front,right,left,False
FRCLTEXT000204_left,front,front,True
FRCLTEXT000204_back,left,right,False
FRCLTEXT000204_right,back,left,False
FRCLTEXT000205_front,left,right,False
FRCLTEXT000205_left,back,right,False
FRCLTEXT000205_back,right,left,False
FRCLTEXT000205_right,front,right,False
FRCLTEXT000206,back,back,True
FRCLTEXT000207_front,back,back,True
FRCLTEXT000207_left,back,back,True
FRCLTEXT000207_back,back,front,False
FRCLTEXT000207_right,back,left,False
FRCLTEXT000208_front,back,back,True
FRCLTEXT000208_left,back,back,True
FRCLTEXT000208_back,back,front,False
FRCLTEXT000208_right,back,back,True
FRCLTEXT000209,front,front,True
FRCLTEXT000210_front,left,right,False
FRCLTEXT000210_left,back,left,False
FRCLTEXT000210_back,right,left,False
FRCLTEXT000210_right,front,right,False
FRCLTEXT000211_front,front,front,True
FRCLTEXT000211_left,front,front,True
FRCLTEXT000211_back,front,back,False
FRCLTEXT000211_right,front,front,True
FRCLTEXT000212_front,right,right,True
FRCLTEXT000212_left,right,back,False
FRCLTEXT000212_back,right,left,False
FRCLTEXT000212_right,right,back,False
FRCLTEXT000213_front,right,right,True
FRCLTEXT000213_left,right,right,True
FRCLTEXT000213_back,right,left,False
FRCLTEXT000213_right,right,back,False
FRCLTEXT000214_front,front,front,True
FRCLTEXT000214_left,left,left,True
FRCLTEXT000214_back,back,back,True
FRCLTEXT000214_right,right,left,False
FRCLTEXT000215,back,back,True
FRCLTEXT000216,left,left,True
FRCLTEXT000217_front,back,back,True
FRCLTEXT000217_left,back,back,True
FRCLTEXT000217_back,back,front,False
FRCLTEXT000217_right,back,left,False
FRCLTEXT000218,back,back,True
FRCLTEXT000219_front,right,right,True
FRCLTEXT000219_left,right,back,False
FRCLTEXT000219_back,right,left,False
FRCLTEXT000219_right,right,back,False
FRCLTEXT000220_front,right,left,False
FRCLTEXT000220_left,front,front,True
FRCLTEXT000220_back,left,right,False
FRCLTEXT000220_right,back,left,False
