id,frame_of_reference_category,gold_answers,predicted_answer,correct
FRCLTEXT000158_left,external relative,right,right,True
FRCLTEXT000158_back,external relative,front,front,True
FRCLTEXT000158_right,external relative,left,left,True
FRCLTEXT000159_front,external relative,back,back,True
FRCLTEXT000159_left,external relative,right,right,True
FRCLTEXT000159_back,external relative,front,front,True
FRCLTEXT000159_right,external relative,left,left,True
FRCLTEXT000160_front,external relative,right,right,True
FRCLTEXT000160_left,external relative,front,front,True
FRCLTEXT000160_back,external relative,left,right,False
FRCLTEXT000160_right,external relative,back,right,False
FRCLTEXT000161_front,external intrinsic,right,right,True
FRCLTEXT000161_left,external intrinsic,right,right,True
FRCLTEXT000161_back,external intrinsic,right,right,True
FRCLTEXT000161_right,external intrinsic,right,right,True
FRCLTEXT000162_front,external intrinsic,front,front,True
FRCLTEXT000162_left,external intrinsic,front,front,True
FRCLTEXT000162_back,external intrinsic,front,front,True
FRCLTEXT000162_right,external intrinsic,front,front,True
FRCLTEXT000163_front,external intrinsic,back,back,True
FRCLTEXT000163_left,external intrinsic,back,back,True
FRCLTEXT000163_back,external intrinsic,back,back,True
FRCLTEXT000163_right,external intrinsic,back,back,True
FRCLTEXT000164_front,external intrinsic,left,left,True
FRCLTEXT000164_left,external intrinsic,left,left,True
FRCLTEXT000164_back,external intrinsic,left,left,True
FRCLTEXT000164_right,external intrinsic,left,left,True
FRCLTEXT000165_front,external relative,right,left,False
FRCLTEXT000165_left,external relative,front,front,True
FRCLTEXT000165_back,external relative,left,right,False
FRCLTEXT000165_right,external relative,back,front,False
FRCLTEXT000166_front,external intrinsic,back,back,True
FRCLTEXT000166_left,external intrinsic,back,back,True
FRCLTEXT000166_back,external intrinsic,back,back,True
FRCLTEXT000166_right,external intrinsic,back,left,False
FRCLTEXT000167_front,external intrinsic,right,right,True
FRCLTEXT000167_left,external intrinsic,right,right,True
FRCLTEXT000167_back,external intrinsic,right,left,False
FRCLTEXT000167_right,external intrinsic,right,right,True
FRCLTEXT000168_front,external relative,back,back,True
FRCLTEXT000168_left,external relative,right,right,True
FRCLTEXT000168_back,external relative,front,front,True
FRCLTEXT000168_right,external relative,left,left,True
FRCLTEXT000169_front,external intrinsic,left,left,True
FRCLTEXT000169_left,external intrinsic,left,left,True
FRCLTEXT000169_back,external intrinsic,left,left,True
FRCLTEXT000169_right,external intrinsic,left,left,True
FRCLTEXT000172_front,external intrinsic,left,left,True
FRCLTEXT000172_left,external intrinsic,left,left,True
FRCLTEXT000172_back,external intrinsic,left,right,False
FRCLTEXT000172_right,external intrinsic,left,left,True
FRCLTEXT000173_front,internal relative,right,left,False
FRCLTEXT000173_left,internal relative,front,front,True
FRCLTEXT000173_back,internal relative,left,right,False
FRCLTEXT000173_right,internal relative,back,front,False
FRCLTEXT000175_front,external intrinsic,front,front,True
FRCLTEXT000175_left,external intrinsic,front,front,True
FRCLTEXT000175_back,external intrinsic,front,front,True
FRCLTEXT000175_right,external intrinsic,front,front,True
FRCLTEXT000176_front,external relative,left,left,True
FRCLTEXT000176_left,external relative,back,front,False
FRCLTEXT000176_back,external relative,right,left,False
FRCLTEXT000176_right,external relative,front,front,True
FRCLTEXT000179_front,internal relative,left,right,False
FRCLTEXT000179_left,internal relative,back,front,False
FRCLTEXT000179_back,internal relative,right,front,False
FRCLTEXT000179_right,internal relative,front,right,False
